28355,42882,-3.17455
NC_003672.1_0_0/1,12327,-415.576
NC_003672.1_1_0/1,1569057,-419.801
NC_003672.1_2_0/1,148879,-414.927
NC_003672.1_3_0/1,148879,-409.893
NC_003672.1_4_0/1,12327,-420.082
NC_003672.1_5_0/1,12315,-424.536
NC_003672.1_6_0/1,310750,-422.08
NC_003672.1_7_0/1,12173,-427.38
NC_003672.1_8_0/1,12327,-423.369
NC_003672.1_9_0/1,12327,-422.272
NC_003672.1_10_0/1,310750,-423.271
NC_003672.1_11_0/1,12315,-416.665
NC_003672.1_12_0/1,148879,-416.106
NC_003672.1_13_0/1,12327,-418.041
NC_003672.1_0_1/1,12327,-419.321
NC_003672.1_1_1/1,12327,-419.565
NC_003672.1_2_1/1,37128,-418.024
NC_003672.1_3_1/1,12173,-425.888
NC_003672.1_4_1/1,12315,-429.455
NC_003672.1_5_1/1,12327,-417.952
NC_003672.1_6_1/1,3047838,-426.792
NC_003672.1_7_1/1,148879,-408.406
NC_003672.1_8_1/1,12327,-418.529
NC_003672.1_9_1/1,55951,-421.541
NC_003672.1_10_1/1,37128,-424.882
NC_003672.1_11_1/1,310750,-423.353
NC_003672.1_12_1/1,148879,-410.99
NC_003672.1_13_1/1,1569057,-424.515
NC_003672.1_14_1/1,12327,-415.46
NC_003668.1_0_0/1,12327,-424.193
NC_003668.1_1_0/1,12327,-418.216
NC_003668.1_2_0/1,12327,-421.79
NC_003668.1_3_0/1,3047724,-426.9
NC_003668.1_4_0/1,148879,-410.796
NC_003668.1_5_0/1,310750,-422.065
NC_003668.1_6_0/1,12315,-424.591
NC_003668.1_7_0/1,55951,-427.202
NC_003668.1_8_0/1,1569057,-413.437
NC_003668.1_9_0/1,55951,-423.237
NC_003668.1_0_1/1,12327,-422.991
NC_003668.1_1_1/1,365150,-425.411
NC_003668.1_2_1/1,12327,-419.129
NC_003668.1_3_1/1,12327,-421.365
NC_003668.1_4_1/1,12327,-420.475
NC_003668.1_5_1/1,12327,-422.316
NC_003668.1_6_1/1,55951,-425.583
NC_003668.1_7_1/1,1569057,-419.584
NC_003668.1_8_1/1,1569057,-423.786
NC_003668.1_9_1/1,365150,-426.007
NC_003668.1_10_1/1,1569057,-423.9
28355,42882,-3.17455
NC_003672.1_0_0/2,148879,-411.369
NC_003672.1_1_0/2,37128,-418.158
NC_003672.1_2_0/2,35297,-429.097
NC_003672.1_3_0/2,148879,-410.589
NC_003672.1_4_0/2,148879,-401.233
NC_003672.1_5_0/2,12327,-417.452
NC_003672.1_6_0/2,37128,-423.858
NC_003672.1_7_0/2,148879,-410.687
NC_003672.1_8_0/2,12327,-424.659
NC_003672.1_9_0/2,12327,-417.184
NC_003672.1_10_0/2,3052621,-420.353
NC_003672.1_11_0/2,12327,-419.444
NC_003672.1_12_0/2,11020,-425.886
NC_003672.1_13_0/2,55951,-421.14
NC_003672.1_0_1/2,12327,-416.628
NC_003672.1_1_1/2,12327,-416.767
NC_003672.1_2_1/2,148879,-410.993
NC_003672.1_3_1/2,12315,-422.932
NC_003672.1_4_1/2,37128,-427.205
NC_003672.1_5_1/2,37128,-418.481
NC_003672.1_6_1/2,12315,-427.059
NC_003672.1_7_1/2,12327,-415.319
NC_003672.1_8_1/2,12327,-416.786
NC_003672.1_9_1/2,12327,-422.68
NC_003672.1_10_1/2,12327,-417.827
NC_003672.1_11_1/2,148879,-409.691
NC_003672.1_12_1/2,12327,-423.089
NC_003672.1_13_1/2,37128,-427.317
NC_003672.1_14_1/2,148879,-413.246
NC_003668.1_0_0/2,42882,-418.657
NC_003668.1_1_0/2,12327,-422.102
NC_003668.1_2_0/2,37128,-421.698
NC_003668.1_3_0/2,3047724,-426.01
NC_003668.1_4_0/2,148879,-420.134
NC_003668.1_5_0/2,12315,-421.682
NC_003668.1_6_0/2,1569057,-411.707
NC_003668.1_7_0/2,37128,-424.842
NC_003668.1_8_0/2,310750,-422.927
NC_003668.1_9_0/2,37128,-420.692
NC_003668.1_0_1/2,55951,-428.973
NC_003668.1_1_1/2,12327,-423.123
NC_003668.1_2_1/2,3052621,-422.97
NC_003668.1_3_1/2,37128,-424.766
NC_003668.1_4_1/2,310750,-421.212
NC_003668.1_5_1/2,148879,-416.374
NC_003668.1_6_1/2,37128,-425.478
NC_003668.1_7_1/2,37128,-420.261
NC_003668.1_8_1/2,55951,-428.483
NC_003668.1_9_1/2,3052621,-425.302
NC_003668.1_10_1/2,1569057,-416.198
1547219,42882,-3.17455
NC_032433.1_0_0/1,3047724,-427.793
NC_032433.1_1_0/1,12173,-425.804
NC_032433.1_2_0/1,1678145,-427.76
NC_032433.1_3_0/1,35297,-426.519
NC_032433.1_4_0/1,11020,-429.945
NC_032433.1_5_0/1,35297,-427.222
NC_032433.1_6_0/1,55951,-428.032
NC_032433.1_7_0/1,55951,-421.979
NC_032433.1_8_0/1,3047724,-428.005
NC_032433.1_9_0/1,35297,-421.996
NC_032433.1_10_0/1,11020,-428.246
NC_032433.1_11_0/1,3047724,-426.234
NC_032433.1_12_0/1,35297,-426.529
NC_032433.1_13_0/1,12173,-428.452
NC_032433.1_14_0/1,35297,-422.889
NC_032433.1_15_0/1,35297,-427.608
NC_032433.1_16_0/1,3047724,-431.229
NC_032433.1_17_0/1,35297,-428.715
NC_032433.1_18_0/1,365150,-426.032
NC_032433.1_19_0/1,1678144,-422.432
NC_032433.1_20_0/1,35297,-424.036
NC_032433.1_21_0/1,1678145,-424.469
NC_032433.1_22_0/1,55951,-425.852
NC_032433.1_23_0/1,37128,-429.089
NC_032433.1_24_0/1,55951,-430.146
NC_032433.1_0_1/1,64318,-426.649
NC_032433.1_1_1/1,55951,-427.968
NC_032433.1_2_1/1,35297,-418.757
NC_032433.1_3_1/1,12173,-428.236
NC_032433.1_4_1/1,12315,-427.077
NC_032433.1_5_1/1,55951,-429.139
NC_032433.1_6_1/1,11020,-427.088
NC_032433.1_7_1/1,35297,-426.402
NC_032433.1_8_1/1,3047724,-429.74
NC_032433.1_9_1/1,12173,-427.79
NC_032433.1_10_1/1,12173,-430.021
